Name,Price,Rating,Proccesor,Core,Thread,RAM(GB),Storage,Graphic_card,Display,Pixel,OS
HP ZBook Firefly 14 G11 A92U2PT Laptop,66240,70.0,Intel Core Ultra 7 155U,12 Cores (2P + 8E + 2LP-E),14,16,512GB,Intel Arc Graphics,14 inches, 1920 x 1200 pixels,Windows 11 OS
HP ZBook Firefly 14 G10 8F6D3PA Workstation Laptop,66240,68.0,13th Gen Intel Core i5 1335U,10 Cores (2P + 8E),12,16,512GB,4GB NVIDIA RTX A500,14 inches, 1920 x 1200 pixels,Windows 11 OS
HP 240 14 G9 9H223PT Laptop,66240,51.0,12th Gen Intel Core i3 1215U,Hexa Core (2P + 4E),8,8 ,512GB,Intel UHD Graphics,14 inches, 1366 x 768 pixels,DOS OS
HP Victus 15-FA1402TX Gaming Laptop,66240,69.0,12th Gen Intel Core i7 12650H,10 Cores (6P + 4E),16,16,1TB,4GB NVIDIA GeForce RTX 3050A,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 15-fd0315TU Laptop,66240,56.0,13th Gen Intel Core i5 1334U,10 Cores (2P + 8E),12,16,512GB,Intel Integrated Iris Xe,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 15-fd0112TU Laptop,66240,53.0,12th Gen Intel Core i5 1235U,10 Cores (2P + 8E),12,8 ,1TB,Intel Integrated Iris Xe,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 15-fd0063TU Laptop,66240,,12th Gen Intel Core i3 1215U,Hexa Core (2P + 4E),8,8 ,512GB,Intel Integrated Graphics,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP ZBook Power G11 A8WN1PT Laptop,66240,75.0,Intel Core Ultra 7 Series 1 155H,16 Cores (6P + 8E + 2LP-E),22,16,1TB,6GB NVIDIA RTX A1000,16 inches, 1920 x 1200 pixels,Windows 11 OS
HP 255 G9 8M397PA Laptop,66240,52.0,5th Gen AMD Ryzen 5 5625U,Hexa Core,12,8 ,512GB,AMD Radeon Graphics,14.1 inches, 1366 x 768 pixels,Windows 11 OS
HP Victus 15-fa1321TX Gaming Laptop,66240,65.0,13th Gen Intel Core i7 13620H,10 Cores (6P + 4E),16,16,512GB,6GB NVIDIA GeForce RTX 3050,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 14-gr0001TU Laptop,66240,54.0,13th Gen Intel Core i5 1335U,10 Cores (2P + 8E),12,16,512GB,Intel Iris Xe Graphics,14 inches, 1920 x 1080 pixels,Windows 11 OS
HP Pavilion 15-eg3130TU Laptop,66240,,13th Gen Intel Core i3 1315U,Hexa Core (2P + 4E),8,8 ,256GB,Intel Graphics,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus Special Edition 15-fa1389TX Gaming Laptop,66240,65.0,12th Gen Intel Core i7 12650H,10 Cores (6P + 4E),16,16,1TB,4GB NVIDIA GeForce RTX 3050A,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 14-gr1022TU Laptop,66240,57.0,Intel Core Ultra 5 Series 1 125H,14 Cores (4P + 8E + 2LP-E),18,16,512GB,Intel Arc Graphics,14 inches, 1920 x 1080 pixels,Windows 11 OS
HP Pavilion Aero 13-bg0017AU Laptop,66240,56.0,8th Gen AMD Ryzen 7 8840U,Octa Core,16,16,512GB,AMD Radeon AMD,13.3 inches, 1920 x 1200 pixels,Windows 11 OS
HP Pavilion Aero 13-bg0016AU Laptop,66240,,8th Gen AMD Ryzen 5 8640U,Hexa Core,12,16,512GB,AMD Radeon AMD,13.3 inches, 1920 x 1200 pixels,Windows 11 OS
HP Chromebook x360 14b-cd0011TU Laptop,66240,,Intel N100 N100,Quad Core,4,4 ,128GB,Intel Integrated UHD,14 inches, 1366 x 768 pixels,Chrome OS OS
HP Chromebook 14a-nf0016tu Laptop,66240,,Intel N200,Quad Core,4,8 ,128GB,Intel Integrated UHD,14 inches, 1366 x 768 pixels,Chrome OS
HP Chromebook 14a-nf0014tu Laptop,66240,,Intel N100 N100,Quad Core,4,4 ,64GB,Intel Integrated UHD,14 inches, 1366 x 768 pixels,Chrome OS
HP 15s-fy5010TU Laptop,66240,54.0,12th Gen Intel Core i3 1215U,Hexa Core (2P + 4E),8,8 ,256GB,Intel Integrated UHD,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 15s-fy5011TU Laptop,66240,53.0,12th Gen Intel Core i3 1215U,Hexa Core (2P + 4E),8,8 ,512GB,Intel UHD Graphics,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP EliteBook Ultra AI PC Laptop,66240,,Qualcomm Snapdragon X Elite,16 GB LPDDR5X RAM</li,,51,Qualcomm,"14inches, 2240x1400pixels, Touch Screen",Windows 11 OS,,
HP OmniBook X 14-fe000 AI Laptop,66240,,Qualcomm Snapdragon X Elite X1E-78-100,12 Cores</li,,16,512GB,Qualcomm Adreno GPU,14 inches, 2240 x 1400 pixels,Windows 11 OS
HP 15-fd0187TU Laptop,66240,50.0,13th Gen Intel Core i5 1335U,10 Cores (2P + 8E),12,8 ,512GB,Intel Integrated UHD,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Victus 15-fa1327TX Gaming Laptop,66240,63.0,13th Gen Intel Core i5 13420H,Octa Core (4P + 4E),12,16,512GB,6GB NVIDIA GeForce RTX 3050,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Omen 16-wd0012TX Gaming Laptop,66240,72.0,13th Gen Intel Core i7 13620H,10 Cores (6P + 4E),16,16,1TB,8GB NVIDIA GeForce RTX 4060,16.1 inches, 1920 x 1080 pixels,Windows 11 OS
HP Pavilion 16-af0015TU Laptop,66240,52.0,Intel Core Ultra 5 Processor 125U,12 Cores (2P + 8E + 2LP-E),14,16,512GB,Intel Integrated,16 inches, 1920 x 1200 pixels,Windows 11 OS
HP Pavilion 16-af0015TU Laptop,66240,52.0,Intel Core Ultra 5 Processor 125U,12 Cores (2P + 8E + 2LP-E),14,16,512GB,Intel Integrated,16 inches, 1920 x 1200 pixels,Windows 11 OS
HP 255 G9 ‎949J0PA Laptop,66240,,AMD Ryzen 5,8 GB DDR4 RAM</li,,51,Intel,"15.6inches, 1366x768pixels",DOS OS,,DOS OS
HP Chromebook 11MK G9 EE Touch Laptop,66240,,MediaTek Kompanio 500,Octa Core</li,,4 ,32GB,Arm Mali-G72 MP3,11.6 inches, 1366 x 768 pixels,Chrome OS
HP 250 G9 8Y2Y9PA Laptop,66240,,Intel Celeron N4500,Dual Core,2,8 ,256GB,Intel Integrated,15.6 inches, 1366 x 768 pixels,DOS OS
HP 250 G9 6S798EA Laptop,66240,,Intel Celeron N4500,Dual Core,2,8 ,256GB,Intel Integrated,15.6 inches, 1366 x 768 pixels,Windows 11 OS
HP Chromebook 15a-nb0006TU Laptop,66240,,Intel Core i3 N305,8 Threads</li,,8 ,256GB,Intel Integrated UHD Graphics,15.6 inches, 1366 x 768 pixels,Chrome OS
HP 15-fd0220TU Laptop,66240,53.0,13th Gen Intel Core i5 1334U,10 Cores (2P + 8E),12,8 ,512GB,Intel Iris Xe Graphics,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP 15s-fq5327TU Laptop,66240,55.0,12th Gen Intel Core i3 1215U,Hexa Core (2P + 4E),8,8 ,512GB,Intel UHD Graphics,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Envy x360 15-fe0014TX Laptop,66240,69.0,13th Gen Intel Core i7 1355U,10 Cores (2P + 8E),12,16,1TB,4GB NVIDIA GeForce RTX 3050,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
HP Envy x360 14-fa0052AU Laptop,66240,69.0,8th Gen AMD Ryzen 7 8840HS,Octa Core,16,16,512GB,AMD Radeon Graphics,14 inches, 1920 x 1200 pixels,Windows 11 OS
HP Victus 15-fa1216TX Gaming Laptop,66240,62.0,13th Gen Intel Core i5 13420H,Octa Core (4P + 4E),12,16,512GB,NVIDIA GeForce RTX 3050,15.6 inches, 1920 x 1080 pixels,Windows 11 OS
